Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
CA Brive,1,5,4,6,8,11,12,13,13,13,10,9,9,9,9,9,10,9,10,10,10,10,11,11,11,11,2020
Castres olympique,4,10,10,11,13,13,13,12,12,12,13,13,12,10,10,11,9,10,9,8,8,8,6,8,8,7,2020
ASM Clermont,6,3,1,5,4,2,1,2,3,3,6,7,7,5,5,6,5,4,4,4,4,4,4,5,5,5,2020
Lyon OU,10,13,8,10,5,4,4,3,7,7,7,5,5,7,7,7,7,7,7,6,6,5,9,9,9,9,2020
Montpellier HR,8,14,13,13,11,8,9,10,11,11,12,12,13,13,13,13,12,11,11,11,11,11,10,10,10,10,2020
Stade français Paris,12,7,9,9,10,10,6,9,4,6,5,6,4,8,8,8,8,8,8,9,9,9,8,7,7,6,2020
Section paloise,5,2,5,2,3,5,7,7,10,10,11,10,10,11,11,10,11,12,13,13,13,13,12,13,13,12,2020
Racing 92,3,1,3,5,7,6,5,5,6,4,3,3,3,3,4,3,3,2,3,3,3,3,3,4,3,3,2020
Stade rochelais,2,9,11,3,2,3,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2020
RC Toulon,13,6,7,7,6,7,8,6,5,5,4,3,6,4,3,5,6,6,6,7,7,7,5,6,6,8,2020
Stade toulousain,7,4,2,1,1,1,3,4,2,2,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2020
Biarritz Olympique,3,10,5,11,12,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,2021
Union Bordeaux Bègles,12,7,9,4,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2021
CA Brive,1,8,3,5,3,5,6,9,10,10,10,12,12,12,13,11,12,11,10,11,12,12,12,12,12,12,2021
Castres olympique,5,3,4,6,4,6,5,5,4,7,7,6,5,4,3,5,4,4,5,4,5,4,4,3,3,1,2021
ASM Clermont,11,12,10,13,9,11,10,7,8,8,8,7,7,7,7,7,8,10,9,9,8,8,9,9,9,7,2021
Stade rochelais,9,13,13,12,13,10,7,5,7,6,4,5,4,5,6,6,7,8,7,6,4,3,3,7,4,5,2021
Lyon OU,4,6,2,3,6,3,3,3,6,4,5,4,6,6,6,3,3,3,3,3,6,7,7,5,8,9,2021
Montpellier HR,7,4,7,9,7,8,9,8,5,3,3,3,3,3,4,2,2,2,2,2,1,1,1,1,1,2,2021
Stade français Paris,13,14,14,14,14,13,12,10,12,11,12,10,10,9,10,10,10,7,8,8,11,11,11,11,11,11,2021
Section paloise,10,5,11,7,5,7,8,11,9,9,9,9,9,8,9,9,9,9,11,10,10,10,10,10,10,10,2021
USA Perpignan,14,9,12,8,10,12,13,14,13,13,13,13,13,13,11,12,11,13,13,13,13,13,13,13,13,13,2021
Racing 92,2,2,6,2,8,4,4,4,3,5,6,8,8,10,8,8,6,5,4,5,7,6,5,4,5,6,2021
RC Toulon,8,11,8,10,11,9,11,13,11,12,11,11,11,11,12,13,14,12,12,12,9,9,8,8,7,8,2021
Stade toulousain,6,1,1,1,1,1,1,1,2,1,1,2,2,2,2,4,5,6,6,7,3,5,6,6,6,4,2021
Aviron bayonnais,14,11,13,10,11,7,10,9,8,6,8,7,6,5,7,5,6,6,5,6,8,8,8,8,7,8,2022
Union Bordeaux Bègles,8,13,9,13,7,12,9,10,10,11,11,8,7,6,4,6,7,7,6,5,5,7,4,4,5,6,2022
CA Brive,10,3,8,12,6,11,12,12,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14,14,14,2022
Castres olympique,13,6,12,8,9,9,7,7,5,10,12,11,12,10,11,10,11,11,11,11,11,11,9,11,10,9,2022
ASM Clermont,12,7,10,4,4,6,4,6,7,9,10,10,10,11,10,11,10,10,9,10,10,10,11,9,10,10,2022
Stade rochelais,5,2,1,3,2,3,2,3,3,2,2,4,5,3,3,3,4,4,4,2,2,2,2,2,2,2,2022
Lyon OU,4,5,11,5,12,10,7,5,9,5,4,6,9,9,8,7,3,3,3,4,4,5,6,4,6,3,2022
Montpellier HR,11,4,3,2,3,4,8,11,11,7,5,5,4,7,6,8,8,9,10,9,9,9,10,10,9,11,2022
Stade français Paris,3,9,5,6,10,5,3,2,2,4,6,3,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2022
Section paloise,6,12,6,11,14,14,13,13,12,12,9,11,11,12,12,12,12,12,12,13,12,12,12,12,12,12,2022
USA Perpignan,9,14,14,14,13,13,14,14,13,13,13,13,13,14,14,14,14,13,13,12,13,13,13,13,13,13,2022
Racing 92,2,8,4,9,8,8,11,8,6,3,3,2,3,3,5,4,5,5,7,8,7,6,7,4,4,5,2022
RC Toulon,1,10,7,7,5,2,5,4,4,8,7,9,8,8,9,9,9,8,8,7,6,4,5,7,8,7,2022
Stade toulousain,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022
Aviron bayonnais,3,6,11,9,10,11,9,12,10,10,10,10,10,10,10,11,9,9,9,10,10,12,11,11,11,12,2023
Union Bordeaux Bègles,9,5,7,8,7,8,10,7,7,4,2,2,3,3,3,4,3,4,3,6,5,3,3,3,3,3,2023
Castres olympique,7,4,3,2,5,4,3,5,3,6,6,7,7,7,5,3,5,5,7,8,9,8,8,10,8,7,2023
ASM Clermont,12,8,6,10,4,6,6,8,8,8,9,9,9,6,8,8,10,11,10,11,12,11,10,8,10,8,2023
Lyon OU,1,9,8,6,8,9,12,10,12,12,12,13,11,12,11,10,11,10,12,12,11,10,12,12,12,11,2023
Montpellier HR,5,10,13,12,13,13,14,14,14,14,14,14,14,14,13,13,12,12,13,13,13,13,13,13,13,13,2023
US Oyonnax,4,12,12,13,11,12,11,9,11,11,11,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,2023
Stade français Paris,2,1,1,4,3,1,1,3,5,3,5,3,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2023
Section paloise,8,3,2,1,1,2,4,2,4,2,4,6,6,9,7,5,8,7,8,7,7,9,7,7,9,9,2023
USA Perpignan,14,14,14,14,14,14,13,13,13,13,13,11,12,11,12,12,13,13,11,9,8,7,9,9,7,10,2023
Racing 92,6,2,4,3,2,3,2,1,1,1,1,1,1,4,4,6,6,6,4,3,3,4,5,6,6,6,2023
Stade rochelais,10,11,9,11,12,10,8,11,9,9,8,8,8,8,9,9,7,3,6,5,6,5,6,5,5,5,2023
RC Toulon,11,13,10,7,9,7,5,4,2,5,3,5,5,5,6,7,5,8,5,4,4,6,4,4,3,4,2023
Stade toulousain,13,7,5,5,6,5,7,6,6,7,7,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,2023
Aviron bayonnais,7,12,13,9,12,10,7,3,4,7,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,2024
Union Bordeaux Bègles,3,7,2,1,1,1,2,2,2,2,2,1,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2024
Castres olympique,6,5,4,6,3,7,6,7,7,5,7,7,8,8,7,6,5,5,5,5,5,5,5,5,5,6,2024
ASM Clermont,1,3,3,7,6,8,5,6,6,6,3,5,5,4,5,5,6,7,9,6,7,6,8,7,7,5,2024
Lyon OU,5,2,7,5,7,4,8,9,10,12,13,11,13,10,9,8,8,6,6,7,6,8,9,11,11,11,2024
Montpellier HR,10,8,10,10,13,11,12,11,11,9,9,8,7,7,8,9,9,8,10,8,9,9,6,8,9,9,2024
Stade français Paris,12,11,8,13,11,13,13,12,13,10,12,10,11,13,13,12,14,11,11,12,12,12,13,12,12,12,2024
Section paloise,14,9,12,8,8,6,9,10,12,13,10,13,10,11,10,11,10,10,7,9,10,11,10,9,8,8,2024
USA Perpignan,8,13,14,12,9,12,11,13,9,11,11,12,12,12,11,10,12,13,13,13,13,13,12,13,13,13,2024
Racing 92,9,4,11,11,10,9,10,8,8,8,8,9,9,9,12,13,11,12,12,11,11,10,11,10,10,10,2024
Stade rochelais,4,10,5,4,2,3,3,4,3,3,6,6,6,6,6,7,7,9,8,10,8,7,7,6,6,7,2024
RC Toulon,11,6,6,3,4,5,4,5,5,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2024
Stade toulousain,2,1,1,2,5,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2024
RC Vannes,13,14,9,14,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,2024
